param_regressor__max_depth,param_regressor__min_samples_leaf,param_regressor__min_samples_split,Mean CV MAE,Std CV MAE,Mean Train MAE,rank_test_score
,1,2,503281.1905940593,46469.917775988986,178.21782178217822,1
20,1,2,512558.52572607266,58450.737416723794,971.7286386138612,2
15,1,2,539582.1206801021,46305.63703213407,27788.687294980737,3
12,1,2,574652.5760645375,56879.85130707466,111127.65746020358,4
20,1,4,574706.4594719473,65069.72214242136,96497.26452970298,5
15,1,4,578303.5616867028,56861.04988027303,113190.04830983223,6
,1,5,582329.8691831683,42058.18742682808,151000.04059405942,7
,1,4,584948.35,65343.83638197702,96126.2375,8
15,1,5,589948.8016639147,48840.52479825069,163952.8986604923,9
20,1,5,599608.6472194719,57796.33661977504,151173.25403052807,10
12,1,4,607506.9870617086,58340.906610169375,175350.0998694445,11
12,1,5,624032.2046359661,54722.94279496238,216597.1292217547,12
10,1,2,635459.409833593,85135.22616725345,239313.8688861428,13
15,1,8,653985.5753748216,67669.29396583185,270581.8019437313,14
,2,2,655656.8558168316,19026.665810753224,215798.6383044555,15
,2,4,655656.8558168316,19026.665810753224,215798.6383044555,15
20,2,2,655727.275990099,19294.07349002057,215859.13726278878,17
20,2,4,655727.275990099,19294.07349002057,215859.13726278878,17
20,2,5,656194.0202557755,36385.4697866073,241395.21281971945,19
,2,5,656844.9698432343,36655.78104078156,241214.8706889439,20
,1,8,659210.0752227723,63986.11195598849,263798.9473962754,21
20,1,8,659484.0844801981,63702.282947410524,263899.212378595,22
10,1,4,661125.7434615986,52773.851525904174,283751.8220627104,23
15,2,5,664849.0669608634,29169.195490367267,248768.80475064454,24
15,2,4,667248.6581324806,33957.649233919656,224277.0361862881,25
15,2,2,667248.6581324806,33957.649233919656,224277.0361862881,25
9,1,2,677088.8641945397,84412.2996233707,330171.0279734112,27
12,1,8,678148.5889040001,71146.7546792576,305872.43157854397,28
12,2,2,681136.795032772,34086.17214227328,267433.1705055416,29
12,2,4,681136.795032772,34086.17214227328,267433.1705055416,29
10,1,5,681571.3191872783,59389.94858664614,315719.3124092451,31
,2,8,686446.4456954268,52697.42475129434,321235.0061509901,32
20,2,8,687321.19812942,52390.48130957245,321341.2354723598,33
12,2,5,688070.9898657395,32381.524000300273,287236.0161119772,34
15,3,5,692024.2361110284,34267.22922419241,357266.7767163319,35
15,3,2,692024.2361110284,34267.22922419241,357266.7767163319,35
15,3,4,692024.2361110284,34267.22922419241,357266.7767163319,35
15,2,8,692119.7338078695,55644.16579664568,326077.7240858638,38
,1,10,694788.4434209492,52164.401532576725,344690.6148370462,39
20,1,10,695580.7426893761,51019.26726005742,344704.1186681793,40
20,3,2,696618.8785066006,42497.58187651125,354053.1465264026,41
20,3,4,696618.8785066006,42497.58187651125,354053.1465264026,41
,3,5,696618.8785066006,42497.58187651125,354053.1465264026,41
,3,4,696618.8785066006,42497.58187651125,354053.1465264026,41
,3,2,696618.8785066006,42497.58187651125,354053.1465264026,41
20,3,5,696618.8785066006,42497.58187651125,354053.1465264026,41
15,1,10,699627.632776401,54907.667951375974,349833.0085895745,47
12,1,10,707269.6244271932,59971.59542742876,378593.15320297435,48
12,2,8,709103.1894284458,69347.98301369208,354102.3792307891,49
12,3,2,709467.9983177477,51583.91049904671,379259.90131724364,50
12,3,4,709467.9983177477,51583.91049904671,379259.90131724364,50
12,3,5,709467.9983177477,51583.91049904671,379259.90131724364,50
,2,10,711079.6272994264,57034.46514447584,383015.7436101289,53
20,2,10,711079.6272994264,57034.46514447584,383015.7436101289,53
20,3,8,711269.5742279586,56814.86113321999,372957.2944253889,55
,3,8,711269.5742279586,56814.86113321999,372957.2944253889,55
15,2,10,711909.9017685406,55812.5029792402,386843.57367165276,57
15,3,8,715939.2290860402,56540.80070764306,375646.4255052287,58
10,1,8,717611.3241310942,70580.41915398573,381025.0515423192,59
12,3,8,720784.8654558902,56598.01279337881,395047.4374440707,60
9,1,5,720887.2976147222,63993.74751534312,393994.06704106793,61
9,1,4,724405.6250726823,65614.09209710863,366912.2820988237,62
12,2,10,728960.0820620821,58710.742764986084,410263.2437279799,63
10,2,4,729600.2820605732,45984.33743939927,359771.5535599385,64
10,2,2,729600.2820605732,45984.33743939927,359771.5535599385,64
10,2,5,730886.446662418,42599.64130056682,374391.29310201766,66
20,3,10,731974.0095322568,60864.258056553335,421998.30794849125,67
,3,10,731974.0095322568,60864.258056553335,421998.30794849125,67
8,1,2,733321.2668895939,79679.9934024302,434445.573975667,69
15,3,10,733410.8921131107,61486.42621716758,424423.39818674687,70
12,3,10,738770.224929016,65023.37903710159,440528.735267228,71
10,3,5,744667.4875380691,43900.71460263148,441113.3608525973,72
10,3,2,744667.4875380691,43900.71460263148,441113.3608525973,72
10,3,4,744667.4875380691,43900.71460263148,441113.3608525973,72
10,1,10,747397.7882115201,57670.48945191757,442260.9844184193,75
10,2,8,747408.7890447455,65276.54428136401,421650.5413392878,76
9,1,8,756213.2714151904,73686.14560556665,448229.271851299,77
15,2,15,764321.6892083876,58871.41812791364,484923.50697837974,78
20,2,15,764701.9585789182,57748.669398281796,482927.4902037141,79
,2,15,764701.9585789182,57748.669398281796,482927.4902037141,79
10,2,10,765116.6833571314,64672.59622604309,467943.21119352325,81
10,3,8,768146.0486865054,73044.61983742625,451387.9311732009,82
8,1,5,768914.8381399752,86148.7259632114,485344.8092479442,83
,1,15,770229.5908574236,36574.23990227167,466320.3341357199,84
20,1,15,770229.5908574236,36574.23990227167,466320.3341357199,84
8,1,4,772083.6507637376,89475.45072659064,462172.8840416735,86
9,2,4,773256.441550103,32846.5476966398,432463.26363097643,87
9,2,2,773256.441550103,32846.5476966398,432463.26363097643,87
20,3,15,773456.3347849881,50754.289938889575,514864.961908263,89
,3,15,773456.3347849881,50754.289938889575,514864.961908263,89
12,2,15,773562.4759665591,59927.39713344074,497479.35086066026,91
15,3,15,773876.614385915,49986.91663193614,516025.23841353256,92
10,3,10,774773.1005647468,69376.16568279534,487867.1659339269,93
9,3,5,776385.6055429196,69001.07148786212,494528.72227716504,94
9,3,4,776385.6055429196,69001.07148786212,494528.72227716504,94
9,3,2,776385.6055429196,69001.07148786212,494528.72227716504,94
9,2,5,777487.5443380962,43505.213916288914,443546.67885374866,97
15,1,15,780788.1300214936,44875.40936665245,468952.65529975307,98
12,3,15,781113.0893948748,55921.08649661286,525732.429293406,99
9,3,8,787173.695040798,72120.89825606032,502328.0508898477,100
12,1,15,787531.4521202125,38116.69390304441,483084.8907000049,101
20,5,10,789282.1747622977,59393.90362527307,512873.2313384017,102
20,5,2,789282.1747622977,59393.90362527307,512873.2313384017,102
20,5,5,789282.1747622977,59393.90362527307,512873.2313384017,102
,5,10,789282.1747622977,59393.90362527307,512873.2313384017,102
,5,5,789282.1747622977,59393.90362527307,512873.2313384017,102
,5,8,789282.1747622977,59393.90362527307,512873.2313384017,102
20,5,4,789282.1747622977,59393.90362527307,512873.2313384017,102
,5,2,789282.1747622977,59393.90362527307,512873.2313384017,102
20,5,8,789282.1747622977,59393.90362527307,512873.2313384017,102
,5,4,789282.1747622977,59393.90362527307,512873.2313384017,102
9,1,10,790239.4768188009,70052.77283862798,501632.5723659933,112
15,5,2,790500.9693774467,58669.273217039234,513641.6758293547,113
15,5,8,790500.9693774467,58669.273217039234,513641.6758293547,113
15,5,4,790500.9693774467,58669.273217039234,513641.6758293547,113
15,5,10,790500.9693774467,58669.273217039234,513641.6758293547,113
15,5,5,790500.9693774467,58669.273217039234,513641.6758293547,113
12,5,2,794295.6745385777,59278.67701973153,524027.1095369228,118
12,5,4,794295.6745385777,59278.67701973153,524027.1095369228,118
12,5,5,794295.6745385777,59278.67701973153,524027.1095369228,118
12,5,8,794295.6745385777,59278.67701973153,524027.1095369228,118
12,5,10,794295.6745385777,59278.67701973153,524027.1095369228,118
9,2,8,797547.2987889175,72152.29784147261,481963.6191696374,123
9,3,10,798908.0296447584,81456.1683646892,534173.3075413879,124
9,2,10,800404.590689554,64762.071510630834,522131.8029728749,125
7,1,2,803778.4421169374,98848.96346994594,559024.9009407728,126
8,1,8,805986.2862433734,79902.79206754998,531021.8150518102,127
10,2,15,808969.9717338579,63965.90371919348,542159.9376181595,128
10,3,15,811946.0284986596,59997.402681666324,562057.259098876,129
10,5,8,819067.0752860906,67177.1925207353,553638.7636848598,130
10,5,10,819067.0752860906,67177.1925207353,553638.7636848598,130
10,5,4,819067.0752860906,67177.1925207353,553638.7636848598,130
10,5,2,819067.0752860906,67177.1925207353,553638.7636848598,130
10,5,5,819067.0752860906,67177.1925207353,553638.7636848598,130
10,1,15,819381.9666957724,42329.538505291086,531115.6229721338,135
8,2,2,825767.0698290629,54862.84464311904,517920.64967758534,136
8,2,4,825767.0698290629,54862.84464311904,517920.64967758534,136
15,5,15,826245.3743693756,60800.39005570891,577377.0375628411,138
9,3,15,827183.7816678509,73817.41380201101,597896.5879982584,139
8,2,5,829015.5859004008,47947.17238910676,527802.3322270904,140
20,5,15,829629.2087259152,68554.24633247222,576691.3119825155,141
,5,15,829629.2087259152,68554.24633247222,576691.3119825155,141
12,5,15,830071.0614244628,63207.65044821978,585078.3759033465,143
8,3,4,832958.3631301525,72148.96550624672,568219.5380235536,144
8,3,5,832958.3631301525,72148.96550624672,568219.5380235536,144
8,3,2,832958.3631301525,72148.96550624672,568219.5380235536,144
